gen,best_cost,mean_cost,best_Kp,best_Ki,best_Kd
0,998.0852743318794,998.0852743318794,96.10312802396112,1.8497194139743833,1.2389516442443171
1,998.0852743318794,998.0852743318794,96.10312802396112,1.8497194139743833,1.2389516442443171
2,998.0852743318794,998.0852743318794,96.10312802396112,1.8497194139743833,1.2389516442443171
3,998.0852743318794,998.0852743318794,96.10312802396112,1.8497194139743833,1.2389516442443171
4,998.0852743318794,998.0852743318794,96.10312802396112,1.8497194139743833,1.2389516442443171
5,989.4163879246696,989.4163879246696,95.9308296036938,1.603529540324513,1.0891175720926722
6,989.4163879246696,989.4163879246696,95.9308296036938,1.603529540324513,1.0891175720926722
7,982.6209225262529,982.6209225262529,2.0224308900775,3.8213745423651084,0.7316008844757907
8,972.9971118309487,972.9971118309487,1.6837222032137926,3.679632659786085,0.6724674201902312
9,972.9971118309487,972.9971118309487,1.6837222032137926,3.679632659786085,0.6724674201902312
10,972.6060931987666,972.6060931987666,2.193698198226169,4.098462160257018,0.7088956062759845
11,953.0204471874599,953.0204471874599,1.9185431301123208,3.942397177914291,0.5875886481981013
12,953.0204471874599,953.0204471874599,1.9185431301123208,3.942397177914291,0.5875886481981013
13,933.2357685811554,933.2357685811554,4.000957233483313,3.854319799965283,0.4603254885914476
14,933.1346391901554,933.1346391901554,3.017885735467932,3.8021199878348906,0.4537638966787369
15,933.1346391901554,933.1346391901554,3.017885735467932,3.8021199878348906,0.4537638966787369
16,932.9188785456811,932.9188785456811,2.4527765152348975,3.9179846681591854,0.4931232894409756
17,922.538489189017,922.538489189017,3.8400082462817924,3.8566591988950627,0.542202566241516
18,922.538489189017,922.538489189017,3.8400082462817924,3.8566591988950627,0.542202566241516
19,922.538489189017,922.538489189017,3.8400082462817924,3.8566591988950627,0.542202566241516
20,922.4470016631832,922.4470016631832,3.7716470513332494,3.8071537536117903,0.5532409896259536
21,922.4470016631832,922.4470016631832,3.7716470513332494,3.8071537536117903,0.5532409896259536
22,922.4470016631832,922.4470016631832,3.7716470513332494,3.8071537536117903,0.5532409896259536
23,922.4470016631832,922.4470016631832,3.7716470513332494,3.8071537536117903,0.5532409896259536
24,922.4470016631832,922.4470016631832,3.7716470513332494,3.8071537536117903,0.5532409896259536
25,922.4470016631832,922.4470016631832,3.7716470513332494,3.8071537536117903,0.5532409896259536
26,920.3533228474246,920.3533228474246,3.874583489414231,3.725977898209446,0.2915979564685038
27,920.3533228474246,920.3533228474246,3.874583489414231,3.725977898209446,0.2915979564685038
28,920.3533228474246,920.3533228474246,3.874583489414231,3.725977898209446,0.2915979564685038
29,920.3533228474246,920.3533228474246,3.874583489414231,3.725977898209446,0.2915979564685038
30,920.3533228474246,920.3533228474246,3.874583489414231,3.725977898209446,0.2915979564685038
31,920.3533228474246,920.3533228474246,3.874583489414231,3.725977898209446,0.2915979564685038
32,920.3533228474246,920.3533228474246,3.874583489414231,3.725977898209446,0.2915979564685038
33,920.3533228474246,920.3533228474246,3.874583489414231,3.725977898209446,0.2915979564685038
34,920.3533228474246,920.3533228474246,3.874583489414231,3.725977898209446,0.2915979564685038
35,920.3533228474246,920.3533228474246,3.874583489414231,3.725977898209446,0.2915979564685038
36,920.3533228474246,920.3533228474246,3.874583489414231,3.725977898209446,0.2915979564685038
37,920.3533228474246,920.3533228474246,3.874583489414231,3.725977898209446,0.2915979564685038
38,920.3533228474246,920.3533228474246,3.874583489414231,3.725977898209446,0.2915979564685038
39,920.3533228474246,920.3533228474246,3.874583489414231,3.725977898209446,0.2915979564685038
40,920.3533228474246,920.3533228474246,3.874583489414231,3.725977898209446,0.2915979564685038
41,910.0526897610494,910.0526897610494,3.723939245689139,3.613197657795844,0.2831923873727682
42,910.0526897610494,910.0526897610494,3.723939245689139,3.613197657795844,0.2831923873727682
43,910.0526897610494,910.0526897610494,3.723939245689139,3.613197657795844,0.2831923873727682
44,910.0526897610494,910.0526897610494,3.723939245689139,3.613197657795844,0.2831923873727682
45,910.0526897610494,910.0526897610494,3.723939245689139,3.613197657795844,0.2831923873727682
46,910.0526897610494,910.0526897610494,3.723939245689139,3.613197657795844,0.2831923873727682
47,910.0526897610494,910.0526897610494,3.723939245689139,3.613197657795844,0.2831923873727682
48,910.0526897610494,910.0526897610494,3.723939245689139,3.613197657795844,0.2831923873727682
49,910.0526897610494,910.0526897610494,3.723939245689139,3.613197657795844,0.2831923873727682
50,910.0526897610494,910.0526897610494,3.723939245689139,3.613197657795844,0.2831923873727682
51,910.0526897610494,910.0526897610494,3.723939245689139,3.613197657795844,0.2831923873727682
52,910.0526897610494,910.0526897610494,3.723939245689139,3.613197657795844,0.2831923873727682
53,910.0526897610494,910.0526897610494,3.723939245689139,3.613197657795844,0.2831923873727682
54,910.0526897610494,910.0526897610494,3.723939245689139,3.613197657795844,0.2831923873727682
55,910.0526897610494,910.0526897610494,3.723939245689139,3.613197657795844,0.2831923873727682
